GasSR,Humidity,Pressure,Temperature,PM1,PM10,PM2_5,IAQ,AQI
216.04,55.45,1003.34,30.86,17,30,23,60,SATISFACTORY
215.75,55.53,1003.38,30.86,17,33,24,60,SATISFACTORY
214.98,55.58,1003.36,30.85,14,25,22,60,SATISFACTORY
215.42,55.67,1003.4,30.85,18,35,24,60,SATISFACTORY
216.24,55.46,1003.4,30.84,19,32,25,60,SATISFACTORY
214.83,55.49,1003.44,30.83,19,36,30,60,SATISFACTORY
215.37,55.52,1003.44,30.83,18,34,25,60,SATISFACTORY
214.64,55.79,1003.42,30.81,19,31,26,60,SATISFACTORY
214.83,55.9,1003.36,30.79,17,28,24,60,SATISFACTORY
213.96,56.03,1003.4,30.77,17,32,24,65,SATISFACTORY
213.58,55.99,1003.44,30.76,17,33,24,65,SATISFACTORY
214.01,55.9,1003.44,30.73,19,34,25,60,SATISFACTORY
214.21,55.87,1003.44,30.72,18,35,25,60,SATISFACTORY
214.03,55.91,1003.47,30.72,17,25,22,60,SATISFACTORY
212.99,55.91,1003.49,30.7,17,29,24,65,SATISFACTORY
213.74,55.72,1003.53,30.69,15,22,21,65,SATISFACTORY
212.26,56.09,1003.53,30.69,17,24,24,65,SATISFACTORY
212.39,56,1003.57,30.69,14,20,19,65,SATISFACTORY
212.01,55.91,1003.57,30.67,15,25,21,65,SATISFACTORY
210.66,56.23,1003.61,30.67,13,20,17,65,SATISFACTORY
210.14,56.36,1003.63,30.65,12,20,15,65,SATISFACTORY
210.28,56.19,1003.65,30.64,13,21,18,65,SATISFACTORY
210.08,55.95,1003.69,30.62,12,19,17,65,SATISFACTORY
210.44,55.79,1003.69,30.6,14,20,19,65,SATISFACTORY
209.3,56.07,1003.75,30.62,12,21,17,70,SATISFACTORY
209.77,56.13,1003.71,30.6,15,22,21,70,SATISFACTORY
210.06,56.06,1003.75,30.59,14,37,20,60,SATISFACTORY
209.72,55.99,1003.75,30.58,16,22,22,65,SATISFACTORY
208.26,56.44,1003.77,30.56,13,18,17,65,SATISFACTORY
207.14,56.31,1003.77,30.53,14,27,18,65,SATISFACTORY
205.86,56.73,1003.77,30.5,14,23,18,70,SATISFACTORY
204.86,56.66,1003.73,30.46,14,19,19,70,SATISFACTORY
204.67,56.78,1003.75,30.43,15,33,20,70,SATISFACTORY
205.47,56.45,1003.69,30.39,14,22,20,70,SATISFACTORY
205.18,56.78,1003.73,30.36,14,22,18,70,SATISFACTORY
205.15,56.73,1003.75,30.33,16,26,21,70,SATISFACTORY
206.43,56.8,1003.77,30.3,16,30,23,65,SATISFACTORY
206.09,56.52,1003.81,30.3,16,30,21,65,SATISFACTORY
205.55,56.52,1003.87,30.29,14,25,20,70,SATISFACTORY
204.37,56.75,1003.89,30.26,16,28,24,70,SATISFACTORY
205.93,56.65,1003.91,30.24,16,29,22,70,SATISFACTORY
